2153;Telecommunicatie-ingenieurs;telematicatechnicus, telecommunicatie-ingenieur, productmanager telematica, ontwerper telematica, hoofdontwerper telematica;;;
2161;Architecten van gebouwen;wetenschappelijk onderzoeker architectuur, ontwerper bouwkunde, interieurontwerper, interieurarchitect, bouwkundig architect, bouwhistoricus, binnenhuisarchitect;;;
2162;Landschapsarchitecten;tuin- en landschapsontwerper, tuin- en landschapsarchitect, landschapsontwerper, landschapsarchitect, landschapsadviseur, groenvoorzieningsontwerper (tuinen), bos- en landschapsadviseur;;;
2163;Product- en kledingontwerpers;verpakkingsontwerper, textielvormgever, productontwikkelaar, productontwerper, product engineer, ontwerper, modelleur schoenen, ontwerper, modelleur lederwaren, modestylist, modeontwerper, meubelontwerper, kostuumontwerper theater, film, televisie, kledingontwerper, industrieel vormgever, industrieel ontwerper (technisch), industrieel ontwerper (conceptueel), dessinontwerper;;;
2164;Stedenbouwkundigen en verkeersplanologen;wetenschappelijk onderzoeker verkeerskunde, wetenschappelijk onderzoeker stedenbouwkunde, verkeerstechnicus, verkeersplanoloog, verkeerskundige, verkeers- en stedenbouwkundige, vastgoedontwikkelaar, stedenbouwkundig ontwerper, stedenbouwkundig architect, stedenbouwkundig adviseur, projectontwikkelaar, planontwikkelaar, planoloog, bouwkundig projectontwikkelaar, adviseur verkeerskunde;;;
2165;Cartografen en landmeetkundigen;wetenschappelijk onderzoeker geodesie, wetenschappelijk onderzoeker cartografie, projectleider landmeetkunde, mijnmeter, medewerker geo-informatie, landmeetkundige, landmeetkundig cartograaf, landmeetkundig ambtenaar, hydrograaf, geo-informatiekundige, geodeet, cartograaf, bodemkundig karteerder, adviseur geo-informatie;;;
2166;Grafisch ontwerpers en multimedia-ontwerpers;webdesigner, technisch illustrator, reclametekenaar, multimediavormgever, interaction designer, illustrator, grafisch werktekenaar, grafisch vormgever, grafisch kunstenaar, graficus, game designer, boekillustrator;;;
2211;Huisartsen ;verzekeringsarts, scheepsarts, huisarts, consultatiebureau-arts, bedrijfsarts, basisarts, arts spoedeisende hulp (seh), arts sociaal-medische dienst;;;
2212;Medisch specialisten ;zenuwarts, wetenschappelijk onderzoeker geneeskunde specialist, wetenschappelijk onderzoeker geneeskunde, verpleeghuisarts, uroloog, sportgeneeskundige, sportfysioloog, sportarts, seksuoloog, revalidatiearts, reumatoloog, radiotherapeut, radioloog, psychiater, plastisch chirurg, orthopedische chirurg, oogarts, oncoloog, nucleair geneeskundige, neuroloog, neurochirurg, medisch specialist, longarts, klinisch patholoog, klinisch geriater, klinisch geneticus, klinisch embryoloog, kinderarts, keel-, neus- en oorarts (kno), internist-allergoloog, internist, huidspecialist, hematoloog, hartchirurg, geriater, gastro-enteroloog, forensisch patholoog, dermatoloog, chirurg, cardioloog thoracaal chirurg, cardioloog, arts voor verstandelijk gehandicapten (avg), arts tuberculosebestrijding, arts microbioloog, arts jeugdgezondheidszorg, anesthesioloog, agio;;;
2221;Verpleegkundigen met hogere opleiding;wijkverpleegkundige, verpleegkundige verstandelijk gehandicapten, verpleegkundige urologie, verpleegkundige stoma, verpleegkundige spoedeisende hulp, verpleegkundige psychiatrie, verpleegkundige orthopedie, verpleegkundige oogheelkunde, verpleegkundige oncologie, verpleegkundige neonatologie, verpleegkundige gastro-enterologie, verpleegkundige cardiologie, verpleegkundige aids-consulent, verpleegkundig specialist ggz, tropenverpleegkundige, transferverpleegkundige, teamleider verzorging ouderenzorg, teamleider verpleging ouderenzorg, teamleider verpleegkundige afdeling ziekenhuis, teamleider geestelijke gezondheidszorg, teamleider ambulancezorg, sociaal-psychiatrisch verpleegkundige, sociaal verpleegkundige, revalidatieverpleegkundige, research verpleegkundige, regieverpleegkundige, recovery verpleegkundige, psychiatrisch verpleegkundige, psychiatrisch intensieve thuiszorg (pit) verpleegkundige, praktijkverpleegkundige, particulier verpleegkundige, operatieverpleegkundige, onderzoeksverpleegkundige, oncologieverpleegkundige, obstetrisch en gynaecologisch verpleegkundige, nurse practitioner, neurologieverpleegkundige, maritiem verpleegkundige, longverpleegkundige, kinderverpleegkundige, jeugdgezondheidszorg verpleegkundige, intensive care-verpleegkundige, hoofdverpleegkundige verstandelijk gehandicaptenzorg, hoofdverpleegkundige psychiatrie, hoofdverpleegkundige algemeen ziekenhuis, hoofd wijkzorg, gg- en gd-verpleegkundige, districtsverpleegkundige, dialyseverpleegkundige, diabetes verpleegkundige, dermatologie verpleegkundige, brandwondenverpleegkundige, arboverpleegkundige;;;
2222;Verloskundigen;verloskundige;;;
2230;Specialisten op het gebied van de traditionele en de alternatieve geneeskunde;natuurgeneeskundig therapeut, homeopaat, acupuncturist;;;
2240;Paramedici;physician assistant;;;
2250;Dierenartsen;wetenschappelijk onderzoeker diergeneeskunde, veterinair patholoog, veearts, keuringsdierenarts, diergeneeskundige, dierenarts;;;
2261;Tandartsen;wetenschappelijk onderzoeker tandheelkunde, tandarts, orthodontist, kaakchirurg;;;
2262;Apothekers;ziekenhuisapotheker, wetenschappelijk onderzoeker farmacie, industrieapotheker, fabrieksapotheker, apotheker farmaceutische industrie, apotheker;;;
2263;Milieu- en bedrijfsartsen en specialisten op het gebied van de milieu  en arbeidshygiëne;ziekenhuishygiënist, veiligheid gezondheid en milieu coördinator (vgm), stralingsdeskundige, hygiënist gezondheidszorg, ergonoom, arbeidshygiënist;;;
2264;Fysiotherapeuten ;psychomotorisch therapeut, oefentherapeut mensendieck, oefentherapeut cesar, manueel therapeut, fysiotherapeut, eurithmietherapeut, dierenfysiotherapeut;;;
2265;Diëtisten en voedingsdeskundigen;wetenschappelijk onderzoeker voeding, voedingsvoorlichter, voedingsdeskundige (voorlichten), voedingsadviseur, diëtist;;;
2266;Audiologen en logopedisten;logopedist, audioloog, audiologieassistent, audicien;;;
2267;Optometristen en orthoptisten;orthoptist, optometrist;;;
2269;Specialisten op het gebied van de gezondheidszorg, niet elders geclassificeerd;podotherapeut, podoloog, muziektherapeut, haptotherapeut, ergotherapeut, creatief therapeut, chiropractor, chiropodist, arbeidstherapeut;;;
2310;Professoren en andere onderwijsgevenden in het hoger onderwijs;wetenschappelijk docent, universitair hoofddocent, universitair docent, student-assistent, professor, leraar hbo, hoogleraar;;;
2320;Onderwijsgevenden in het beroepsonderwijs;praktijkopleider, leider-docent kraamcentrum, lasinstructeur, instructeur verkeersdienstsimulator, instructeur tram- en metrobesturen, instructeur hijswerk, instructeur heftrucks, instructeur grondverzet- en graafmachines, docent werktuigbouwkunde, docent warenkennis (handel), docent vliegtuigbouwkunde, docent verzorging, huishoudkunde, docent verzorging, gezondheidskunde, docent verpleegkunde, docent verkooptechniek, docent veehouderij, docent tuinbouw, akkerbouw, docent tuin en landschap, docent textieltechniek, docent technische informatica, docent secretariële vakken, docent schoonheidsverzorging, docent schoenmaken, docent scheepsbouwkunde, docent reclame- en presentatietechnieken, docent procestechniek, docent politievakken, docent plant en educatie, docent pedagogiek, docent papiermaken, docent paardenhouderij, docent optiek, docent ondernemersvaardigheden, docent omgangskunde, docent motorvoertuigentechniek, docent milieukunde, docent mechanische techniek, docent maritieme technieken, docent machinistenopleiding spoorwegen, docent levensmiddelentechnologie, docent lassen, docent kinderverzorging en opvoeding, docent kappersvak, docent installatietechniek, docent inkoop, docent houtbewerkingstechnieken, docent grafische techniek, docent glasbewerken, docent gieterijtechniek, docent fotografie, docent fijnmechanische techniek, docent elektrotechniek, docent elektronica, docent edelmetaalbewerken, docent dier en educatie, docent consumptieve techniek, docent civiele techniek, docent brandweervakken, docent bouwkunde, docent bosbouwkunde, docent bloemsierkunst, docent besturingstechniek, docent beschermings- en afwerkingstechnieken, docent algemene beveiliging, docent agrotechniek, docent agromanagement, docent (elektrische) energietechniek;;;
